,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,Implied volatility,Underlaying asset price,Expiration time
201,2/17/17,4/21/17,35,JOBS,Call,2.8,0.48566,35.790001,0.1724846
202,2/17/17,7/21/17,35,JOBS,Call,3.3,0.34105,35.790001,0.421629021
203,2/17/17,3/17/17,12.5,CAFD,Call,1.1,0.272,13.4,0.076659822
204,2/17/17,3/17/17,12.5,CAFD,Put,0.15,0.27396,13.4,0.076659822
205,2/17/17,6/16/17,12.5,CAFD,Call,1.33,0.24458,13.4,0.325804244
206,2/17/17,6/16/17,12.5,CAFD,Put,0.6,0.38521,13.4,0.325804244
207,2/17/17,9/15/17,12.5,CAFD,Call,1.6,0.24548,13.4,0.574948665
208,2/17/17,9/15/17,12.5,CAFD,Put,0.95,0.38249,13.4,0.574948665
209,2/17/17,3/17/17,15,EGHT,Call,0.5,0.41931,15,0.076659822
210,2/17/17,3/17/17,15,EGHT,Put,0.75,0.27765,15,0.076659822
211,2/17/17,5/19/17,15,EGHT,Call,0.88,0.46332,15,0.249144422
212,2/17/17,5/19/17,15,EGHT,Put,1.35,0.31626,15,0.249144422
213,2/17/17,8/18/17,15,EGHT,Call,1.65,0.42632,15,0.498288843
214,2/17/17,8/18/17,15,EGHT,Put,1.78,0.33027,15,0.498288843
215,2/17/17,3/17/17,17.5,AVHI,Call,0.4,0.54191,16.700001,0.076659822
216,2/17/17,3/17/17,17.5,AVHI,Put,1.65,0.3661,16.700001,0.076659822
217,2/17/17,6/16/17,17.5,AVHI,Call,1.4,0.29612,16.700001,0.325804244
218,2/17/17,6/16/17,17.5,AVHI,Put,1.75,0.32965,16.700001,0.325804244
219,2/17/17,9/15/17,17.5,AVHI,Call,1.75,0.26236,16.700001,0.574948665
220,2/17/17,9/15/17,17.5,AVHI,Put,1.7,0.29899,16.700001,0.574948665
221,2/17/17,3/17/17,35,SHLM,Call,0.6,0.875,33.75,0.076659822
